Europejska Wspólnota Węgla i Stali			
w XVI	16		
tak			
alibi			
Niva			
z Azji			
lampasy			
King Kong			
stopień			
Gabriel García Márquez	Márquez		
nie			
„Trzej muszkieterowie”			
Patroklos			
cuma			
Lucjan Trela			
w XV	15		
Szymon Cyrenejczyk	Szymon z Cyreny		
„Romantyczność”			
kondor			
Wiesław Myśliwski			
nie			
chleb i ryby	ryby i chleb		
Georgi Dymitrow	Georgi Dimitrow Michajłow		
dęty blaszany			
przez Peru	Peru		
ekstradycja			
Quentin Tarantino			
kilogram			
sekstant			
burta			
cztery	4		
nowelizacja			
Kabaret Tey	Tey		
z IX	9		
pole kwadratu			
Chiny			
Danii			
Wacław Szymanowski			
tak			
Zgromadzenie Narodowe			
Boliwii i Peru	Peru i Boliwii		
w Saint Tropez			
bojer			
trzech	3		
katolickiego			
tektonika			
przeciwko państwu krzyżackiemu	przeciw Krzyżakom	państwo krzyżackie	
Gerlach			
telegazeta			
tak			
palców			
Pierre de Coubertin			
renifer			
z miliona			
sześć	6		
konno			
gazem			
Hera			
nie			
atropina			
z kóz			
folwark			
Elżbieta			
wierszem			
muchomory			
Bolesław I Chrobry			
borowina			
paserstwo			
czambuły			
przednie			
40 km/h			
z Portugalii			
Mario Puzo			
trzęsienia ziemi			
Artura Rubinsteina			
szpada			
generał Franciszek Kleeberg	Kleeberg		
gondola			
tymczasowe aresztowanie			
Nowej Zelandii			
trzech	3		
nie			
Tadeusz Kantor			
nie			
Nautilus			
palną			
Ajschylos			
tak			
Empire State Building			
nad Nilem			
Edward Gierek			
Ludwig van Beethoven	Beethoven		
zbrodnia w afekcie			
jeden	1		
linie papilarne			
iglastych			
dzięcielina			
Renata Mauer-Różańska	Mauer		
Władysław I Herman			
Nowy Jork			
w województwie kujawsko-pomorskim	w kujawsko-pomorskim		
bieg na 100 m przez płotki	100 m ppł		
urna			
Margaret Thatcher			
Kurpie			
wielbłądowatych			
w V p.n.e.			
w Kopenhadze			
białym			
w Chinach			
arsonfobia			
tak			
siedemdziesiątych			
w Madrycie	Madryt		
stachanowiec			
Pilica			
Pietro Mennea			
iglaste			
w kosmetycznej			
dwa	2		
tak			
zakończeniem			
z czterech	4		
w Waszyngtonie			
batalion			
w XVIII	18		
w Kalifornii			
obniżonej			
w XXI	21		
w Tulonie			
Władysław			
w 1943			
Warszawski Indeks Giełdowy	WIG		
Ryszard Bugajski			
